Timestamp;Email;Comment;PID;Millis;EDA;IBI;RawPulse;Pressure;Button
;;;;;;;;;
2021-10-15 10:57:35.2069;a@a.A;NULL;NULL;13542;0;0;531;0;0
2021-10-15 10:57:35.2069;a@a.A;NULL;NULL;13552;39;0;531;0;0
2021-10-15 10:57:35.2228;a@a.A;NULL;NULL;13562;18;0;531;0;0
2021-10-15 10:57:35.2228;a@a.A;NULL;NULL;13572;33;13568;532;0;0
2021-10-15 10:57:35.2398;a@a.A;NULL;NULL;13582;7;0;531;0;0
2021-10-15 10:57:35.2567;a@a.A;NULL;NULL;13592;51;0;531;0;0
2021-10-15 10:57:35.2567;a@a.A;NULL;NULL;13602;7;0;531;0;0
2021-10-15 10:57:35.2727;a@a.A;NULL;NULL;13612;38;0;531;0;0
2021-10-15 10:57:35.2727;a@a.A;NULL;NULL;13622;22;0;531;0;0
2021-10-15 10:57:35.2897;a@a.A;NULL;NULL;13632;43;0;531;0;0
2021-10-15 10:57:35.2897;a@a.A;NULL;NULL;13642;4;0;531;0;0
2021-10-15 10:57:35.3058;a@a.A;NULL;NULL;13652;36;0;531;0;0
2021-10-15 10:57:35.3223;a@a.A;NULL;NULL;13662;0;0;531;0;0
2021-10-15 10:57:35.3223;a@a.A;NULL;NULL;13672;32;0;531;0;0
2021-10-15 10:57:35.3392;a@a.A;NULL;NULL;13682;3;0;531;0;0
2021-10-15 10:57:35.3392;a@a.A;NULL;NULL;13692;37;0;531;0;0
2021-10-15 10:57:35.3562;a@a.A;NULL;NULL;13702;19;0;531;0;0
2021-10-15 10:57:35.3721;a@a.A;NULL;NULL;13712;35;0;531;0;0
2021-10-15 10:57:35.3721;a@a.A;NULL;NULL;13722;1;0;531;0;0
2021-10-15 10:57:35.3891;a@a.A;NULL;NULL;13732;45;0;532;0;0
2021-10-15 10:57:35.3891;a@a.A;NULL;NULL;13742;4;0;531;0;0
2021-10-15 10:57:35.4060;a@a.A;NULL;NULL;13752;41;0;532;0;0
2021-10-15 10:57:35.4230;a@a.A;NULL;NULL;13762;18;0;532;0;0
2021-10-15 10:57:35.4230;a@a.A;NULL;NULL;13772;46;0;532;0;0
2021-10-15 10:57:35.4385;a@a.A;NULL;NULL;13782;12;0;532;0;0
2021-10-15 10:57:35.4574;a@a.A;NULL;NULL;13792;39;0;532;0;0
2021-10-15 10:57:35.4574;a@a.A;NULL;NULL;13802;12;0;532;0;0
2021-10-15 10:57:35.4734;a@a.A;NULL;NULL;13812;24;0;531;0;0
2021-10-15 10:57:35.4734;a@a.A;NULL;NULL;13822;4;0;531;0;0
2021-10-15 10:57:35.4894;a@a.A;NULL;NULL;13832;35;0;531;0;0
2021-10-15 10:57:35.5063;a@a.A;NULL;NULL;13842;21;0;531;0;0
2021-10-15 10:57:35.5063;a@a.A;NULL;NULL;13852;36;0;531;0;0
2021-10-15 10:57:35.5233;a@a.A;NULL;NULL;13862;30;0;531;0;0
2021-10-15 10:57:35.5233;a@a.A;NULL;NULL;13872;42;0;531;0;0
2021-10-15 10:57:35.5397;a@a.A;NULL;NULL;13882;0;0;531;0;0
2021-10-15 10:57:35.5397;a@a.A;NULL;NULL;13892;30;0;531;0;0
2021-10-15 10:57:35.5557;a@a.A;NULL;NULL;13902;6;0;531;0;0
2021-10-15 10:57:35.5728;a@a.A;NULL;NULL;13912;45;0;531;0;0
2021-10-15 10:57:35.5728;a@a.A;NULL;NULL;13922;8;0;531;0;0
2021-10-15 10:57:35.5898;a@a.A;NULL;NULL;13932;44;0;531;0;0
2021-10-15 10:57:35.5898;a@a.A;NULL;NULL;13942;21;0;530;0;0
2021-10-15 10:57:35.6068;a@a.A;NULL;NULL;13952;50;0;530;0;0
2021-10-15 10:57:35.6227;a@a.A;NULL;NULL;13962;9;0;530;0;0
2021-10-15 10:57:35.6227;a@a.A;NULL;NULL;13972;27;0;530;0;0
2021-10-15 10:57:35.6397;a@a.A;NULL;NULL;13982;15;0;530;0;0
2021-10-15 10:57:35.6556;a@a.A;NULL;NULL;13992;37;0;530;0;0
2021-10-15 10:57:35.6556;a@a.A;NULL;NULL;14002;0;0;530;0;0
2021-10-15 10:57:35.6726;a@a.A;NULL;NULL;14012;36;0;530;0;0
2021-10-15 10:57:35.6736;a@a.A;NULL;NULL;14022;4;0;530;0;0
2021-10-15 10:57:35.6897;a@a.A;NULL;NULL;14032;29;0;530;0;0
2021-10-15 10:57:35.7066;a@a.A;NULL;NULL;14042;3;0;530;0;0
2021-10-15 10:57:35.7066;a@a.A;NULL;NULL;14052;46;0;530;0;0
2021-10-15 10:57:35.7226;a@a.A;NULL;NULL;14062;11;0;530;0;0
2021-10-15 10:57:35.7236;a@a.A;NULL;NULL;14072;43;0;530;0;0
2021-10-15 10:57:35.7395;a@a.A;NULL;NULL;14082;10;0;530;0;0
2021-10-15 10:57:35.7565;a@a.A;NULL;NULL;14092;44;0;530;0;0
